UniprotID	Q9NRR4-4
Accession	Q9NRR4;E7EMP9;Q7Z5V2;Q86YH0;Q9NW73;Q9Y2V9;Q9Y4Y0
EntryName	RNC_HUMAN
ProteinName	Ribonuclease 3 (EC 3.1.26.3) (Protein Drosha) (Ribonuclease III) (RNase III) (p241)
GeneName	DROSHA RN3 RNASE3L RNASEN
Length	1337
Function	Ribonuclease III double-stranded (ds) RNA-specific endoribonuclease that is involved in the initial step of microRNA (miRNA) biogenesis. Component of the microprocessor complex that is required to process primary miRNA transcripts (pri-miRNAs) to release precursor miRNA (pre-miRNA) in the nucleus. Within the microprocessor complex, DROSHA cleaves the 3' and 5' strands of a stem-loop in pri-miRNAs (processing center 11 bp from the dsRNA-ssRNA junction) to release hairpin-shaped pre-miRNAs that are subsequently cut by the cytoplasmic DICER to generate mature miRNAs. Involved also in pre-rRNA processing. Cleaves double-strand RNA and does not cleave single-strand RNA. Involved in the formation of GW bodies. Plays a role in growth homeostasis in response to autophagy in motor neurons (By similarity).
Subcellular Location	Nucleus; Nucleus; Nucleolus; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6391576
pNuLoCRegion	323...338;363...368
