UniprotID	Q9UPS8-2
Accession	Q9UPS8;A6NH29;Q2TAZ3;Q6ZR14;Q9H1Q1;Q9NSK9;Q9NTD5;Q9NW69
EntryName	ANR26_HUMAN
ProteinName	Ankyrin repeat domain-containing protein 26
GeneName	ANKRD26 KIAA1074
Length	1267
Function	Acts as a regulator of adipogenesis. Involved in the regulation of the feeding behavior.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5210831
pNuLoCRegion	20...63
