UniprotID	Q9UPQ3-2
Accession	Q9UPQ3;B2RTX7;Q541S5;Q6P9D7;Q9NV93
EntryName	AGAP1_HUMAN
ProteinName	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 (AGAP-1) (Centaurin-gamma-2) (Cnt-g2) (GTP-binding and GTPase-activating protein 1) (GGAP1)
GeneName	AGAP1 CENTG2 KIAA1099
Length	804
Function	GTPase-activating protein for ARF1 and, to a lesser extent, ARF5. Directly and specifically regulates the adapter protein 3 (AP-3)-dependent trafficking of proteins in the endosomal-lysosomal system.
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7403955
pNuLoCRegion	18...25;31...33;125...138;163...170;741...746;774...779
