UniprotID	Q8N5U6-2
Accession	Q8N5U6;Q92550;Q9NPP8;Q9ULW4
EntryName	RNF10_HUMAN
ProteinName	E3 ubiquitin-protein ligase RNF10 (EC 2.3.2.27) (RING finger protein 10)
GeneName	RNF10 KIAA0262 RIE2
Length	816
Function	E3 ubiquitin-protein ligase that catalyzes monoubiquitination of 40S ribosomal proteins RPS2/us5 and RPS3/us3 in response to ribosome stalling (PubMed:34348161, PubMed:34469731). Part of a ribosome quality control that takes place when ribosomes have stalled during translation initiation (iRQC): RNF10 acts by mediating monoubiquitination of RPS2/us5 and RPS3/us3, promoting their degradation by the proteasome (PubMed:34348161, PubMed:34469731). Also promotes ubiquitination of 40S ribosomal proteins in response to ribosome stalling during translation elongation (PubMed:34348161). The action of RNF10 in iRQC is counteracted by USP10 (PubMed:34469731). May also act as a transcriptional factor involved in the regulation of MAG (Myelin-associated glycoprotein) expression (By similarity). Acts as a regulator of Schwann cell differentiation and myelination (By similarity).
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9119239
pNuLoCRegion	33...35;600...621;654...662;791...810
