UniprotID	Q9P2F6-4
Accession	Q9P2F6;A8K8C5;B0YIW7;B0YIW8;Q6RJU1;Q6RJU2;Q6RJU3;Q6RJU5;Q8IXS1
EntryName	RHG20_HUMAN
ProteinName	Rho GTPase-activating protein 20 (Rho-type GTPase-activating protein 20)
GeneName	ARHGAP20 KIAA1391
Length	1155
Function	GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5616852
pNuLoCRegion	285...315
