UniprotID	Q71RC2-4
Accession	Q71RC2;A8K6T1;E9PDG5;G3XAA8;G5E976;Q5CZ97;Q6ZV14;Q96NF9
EntryName	LARP4_HUMAN
ProteinName	La-related protein 4 (La ribonucleoprotein domain family member 4)
GeneName	LARP4 PP13296
Length	730
Function	RNA binding protein that binds to the poly-A tract of mRNA molecules (PubMed:21098120). Associates with the 40S ribosomal subunit and with polysomes (PubMed:21098120). Plays a role in the regulation of mRNA translation (PubMed:21098120). Plays a role in the regulation of cell morphology and cytoskeletal organization (PubMed:21834987, PubMed:27615744).
Subcellular Location	Cytoplasm; Stress granule; Cytoplasm; Cytosol
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7489387
pNuLoCRegion	6...25
