UniprotID	Q9Y5V3-2
Accession	Q9Y5V3;Q5VSH6;Q8IZ84;Q8WY92;Q9H352;Q9HBT4;Q9UF36
EntryName	MAGD1_HUMAN
ProteinName	Melanoma-associated antigen D1 (MAGE tumor antigen CCF) (MAGE-D1 antigen) (Neurotrophin receptor-interacting MAGE homolog)
GeneName	MAGED1 NRAGE PP2250 PRO2292
Length	834
Function	Involved in the apoptotic response after nerve growth factor (NGF) binding in neuronal cells. Inhibits cell cycle progression, and facilitates NGFR-mediated apoptosis. May act as a regulator of the function of DLX family members. May enhance ubiquitin ligase activity of RING-type zinc finger-containing E3 ubiquitin-protein ligases. Proposed to act through recruitment and/or stabilization of the Ubl-conjugating enzyme (E2) at the E3:substrate complex. Plays a role in the circadian rhythm regulation. May act as RORA co-regulator, modulating the expression of core clock genes such as BMAL1 and NFIL3, induced, or NR1D1, repressed.
Subcellular Location	Cytoplasm; Cell membrane; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9233698
pNuLoCRegion	3...43;70...81;151...153;301...322
