UniprotID	Q9UBB6-2
Accession	Q9UBB6;D3DPR9;Q9UBY2;Q9Y4A6;Q9Y4D9
EntryName	NCDN_HUMAN
ProteinName	Neurochondrin
GeneName	NCDN KIAA0607
Length	712
Function	Probably involved in signal transduction in the nervous system, via increasing cell surface localization of GRM5/mGluR5 and positively regulating its signaling (PubMed:33711248). Required for the spatial learning process. Acts as a negative regulator of Ca(2+)-calmodulin-dependent protein kinase 2 (CaMK2) phosphorylation. May play a role in modulating melanin-concentrating hormone-mediated functions via its interaction with MCHR1 that interferes with G protein-coupled signal transduction. May be involved in bone metabolism. May also be involved in neurite outgrowth (Probable).
Subcellular Location	Cytoplasm; Cytosol; Endosome membrane; Cell projection; Dendrite; Postsynapse
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.19335912
pNuLoCRegion	
