UniprotID	Q8IU80-1
Accession	Q8IU80;B0QYB4;B0QYB7;B0QYB8;Q5TI06;Q6ICC2;Q6UXD8;Q8IUE2;Q8IXV8
EntryName	TMPS6_HUMAN
ProteinName	Transmembrane protease serine 6 (EC 3.4.21.-) (Matriptase-2)
GeneName	TMPRSS6 UNQ354/PRO618
Length	802
Function	Membrane-bound serine protease (PubMed:18976966, PubMed:20518742, PubMed:25156943, PubMed:25588876). Through the cleavage of cell surface hemojuvelin (HJV), a regulator of the expression of the iron absorption-regulating hormone hepicidin/HAMP, plays a role in iron homeostasis (PubMed:18408718, PubMed:18976966, PubMed:25156943).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.020552563
pNuLoCRegion	20...36
