UniprotID	Q96JK2-2
Accession	Q96JK2;B2RN31;G3V4J7;O60559;Q8N3V3;Q8N3V5
EntryName	DCAF5_HUMAN
ProteinName	DDB1- and CUL4-associated factor 5 (Breakpoint cluster region protein 2) (BCRP2) (WD repeat-containing protein 22)
GeneName	DCAF5 BCRG2 KIAA1824 WDR22
Length	860
Function	Is a substrate receptor for the CUL4-DDB1 E3 ubiquitin-protein ligase complex (CRL4) (PubMed:29691401, PubMed:30442713). The complex CRL4-DCAF5 is involved in the ubiquitination of a set of methylated non-histone proteins, including SOX2, DNMT1 and E2F1 (PubMed:29691401, PubMed:30442713).
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9540866
pNuLoCRegion	38...50;116...124;278...290;831...853
