UniprotID	Q96JM7-2
Accession	Q96JM7;Q4VXE1;Q5VUM9;Q6P9B5
EntryName	LMBL3_HUMAN
ProteinName	Lethal(3)malignant brain tumor-like protein 3 (H-l(3)mbt-like protein 3) (L(3)mbt-like protein 3) (L3mbt-like 3) (MBT-1)
GeneName	L3MBTL3 KIAA1798 MBT1
Length	755
Function	Is a negative regulator of Notch target genes expression, required for RBPJ-mediated transcriptional repression (PubMed:29030483). It recruits KDM1A to Notch-responsive elements and promotes KDM1A-mediated H3K4me demethylation (PubMed:29030483). Involved in the regulation of ubiquitin-dependent degradation of a set of methylated non-histone proteins, including SOX2, DNMT1 and E2F1. It acts as an adapter recruiting the CRL4-DCAF5 E3 ubiquitin ligase complex to methylated target proteins (PubMed:29691401, PubMed:30442713). Required for normal maturation of myeloid progenitor cells (By similarity).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.88780016
pNuLoCRegion	15...26;125...142;146...165;184...200
