UniprotID	Q96QU1-7
Accession	Q96QU1;A0A2R8Y6C0;A6NL19;C6ZEF5;C6ZEF6;C6ZEF7;Q5VY38;Q5VY39;Q6TRH8;Q8NDB9;Q96QT8
EntryName	PCD15_HUMAN
ProteinName	Protocadherin-15
GeneName	PCDH15 USH1F
Length	1740
Function	Calcium-dependent cell-adhesion protein. Essential for maintenance of normal retinal and cochlear function.
Subcellular Location	Cell membrane; Secreted
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.11274173
pNuLoCRegion	
