UniprotID	Q9ULC5-3
Accession	Q9ULC5;A6GV77;D3DRB3;Q6UX44;Q9UIU4
EntryName	ACSL5_HUMAN
ProteinName	Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 5) (LACS 5)
GeneName	ACSL5 ACS5 FACL5 UNQ633/PRO1250
Length	739
Function	Catalyzes the conversion of long-chain fatty acids to their active form acyl-CoAs for both synthesis of cellular lipids, and degradation via beta-oxidation (PubMed:17681178, PubMed:22633490, PubMed:24269233, PubMed:33191500). ACSL5 may activate fatty acids from exogenous sources for the synthesis of triacylglycerol destined for intracellular storage (By similarity). Utilizes a wide range of saturated fatty acids with a preference for C16-C18 unsaturated fatty acids (By similarity). It was suggested that it may also stimulate fatty acid oxidation (By similarity). At the villus tip of the crypt-villus axis of the small intestine may sensitize epithelial cells to apoptosis specifically triggered by the death ligand TRAIL. May have a role in the survival of glioma cells.
Subcellular Location	Mitochondrion; Endoplasmic reticulum; Mitochondrion outer membrane; Endoplasmic reticulum membrane; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.013395797
pNuLoCRegion	
