UniprotID	A5PL33-3
Accession	A5PL33;A7E2F5;E7ENE9;Q8N4X0;Q96JG5
EntryName	KRBA1_HUMAN
ProteinName	Protein KRBA1
GeneName	KRBA1 KIAA1862
Length	969
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6561488
pNuLoCRegion	23...42;190...194
