UniprotID	Q86WZ6-2
Accession	Q86WZ6;B3KRU7;B7Z5P9
EntryName	ZN227_HUMAN
ProteinName	Zinc finger protein 227
GeneName	ZNF227
Length	748
Function	May be involved in transcriptional regulation.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.96545345
pNuLoCRegion	18...40;81...83;206...222;248...261;283...305;322...349;386...435;441...476;493...520;532...563;571...604;623...655;665...713
