UniprotID	Q9H4I2-2
Accession	Q9H4I2;E1P5W5;F5H820;O43145;Q6NUJ7
EntryName	ZHX3_HUMAN
ProteinName	Zinc fingers and homeoboxes protein 3 (Triple homeobox protein 1) (Zinc finger and homeodomain protein 3)
GeneName	ZHX3 KIAA0395 TIX1
Length	969
Function	Acts as a transcriptional repressor. Involved in the early stages of mesenchymal stem cell (MSC) osteogenic differentiation. Is a regulator of podocyte gene expression during primary glomerula disease. Binds to promoter DNA.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.98402864
pNuLoCRegion	5...36;95...122;351...369;398...420;479...489
