UniprotID	Q9H7P9-3
Accession	Q9H7P9;B8ZZK6;C9J0Y4;Q6DHV6;Q96BU2;Q96D18;Q9H699
EntryName	PKHG2_HUMAN
ProteinName	Pleckstrin homology domain-containing family G member 2 (PH domain-containing family G member 2)
GeneName	PLEKHG2
Length	1357
Function	May be a transforming oncogene with exchange activity for CDC42 (By similarity). May be a guanine-nucleotide exchange factor (GEF) for RAC1 and CDC42. Activated by the binding to subunits beta and gamma of the heterotrimeric guanine nucleotide-binding protein (G protein) (PubMed:18045877). Involved in the regulation of actin polymerization (PubMed:26573021).
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.44745365
pNuLoCRegion	
