UniprotID	Q9H2Y7-2
Accession	Q9H2Y7;B4DZ40;E9PE29;Q6NSD9;Q6PEK1;Q86T43;Q86T45;Q86T50;Q86T58;Q86TA9;Q96M37;Q9H7B8
EntryName	ZN106_HUMAN
ProteinName	Zinc finger protein 106 (Zfp-106) (Zinc finger protein 474)
GeneName	ZNF106 SH3BP3 ZFP106 ZNF474
Length	1111
Function	RNA-binding protein. Specifically binds to 5'-GGGGCC-3' sequence repeats in RNA. Essential for maintenance of peripheral motor neuron and skeletal muscle function. Required for normal expression and/or alternative splicing of a number of genes in spinal cord and skeletal muscle, including the neurite outgrowth inhibitor RTN4. Also contributes to normal mitochondrial respiratory function in motor neurons, via an unknown mechanism.
Subcellular Location	Nucleus; Nucleolus; Nucleus speckle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9760642
pNuLoCRegion	5...34;245...272;370...375
