UniprotID	Q9BZA8-2
Accession	Q9BZA8;Q70LR6;Q70LR8;Q70LS0;Q70LS1;Q70LS2;Q70LS3;Q70LS4;Q70LS5;Q8WY34;Q9BZA9;Q9H4E1
EntryName	PC11Y_HUMAN
ProteinName	Protocadherin-11 Y-linked (Protocadherin-11) (Protocadherin on the Y chromosome) (PCDH-Y) (Protocadherin prostate cancer) (Protocadherin-PC) (Protocadherin-22)
GeneName	PCDH11Y PCDH11 PCDH22 PCDHY
Length	1048
Function	Potential calcium-dependent cell-adhesion protein.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.026626663
pNuLoCRegion	
