UniprotID	Q6ZSZ5-6
Accession	Q6ZSZ5;A8MV62;B5ME81;I3L1I5;O60274;Q6DD92
EntryName	ARHGI_HUMAN
ProteinName	Rho guanine nucleotide exchange factor 18 (114 kDa Rho-specific guanine nucleotide exchange factor) (p114-Rho-GEF) (p114RhoGEF) (Septin-associated RhoGEF) (SA-RhoGEF)
GeneName	ARHGEF18 KIAA0521
Length	1345
Function	Acts as a guanine nucleotide exchange factor (GEF) for RhoA GTPases. Its activation induces formation of actin stress fibers. Also acts as a GEF for RAC1, inducing production of reactive oxygen species (ROS). Does not act as a GEF for CDC42. The G protein beta-gamma (Gbetagamma) subunits of heterotrimeric G proteins act as activators, explaining the integrated effects of LPA and other G-protein coupled receptor agonists on actin stress fiber formation, cell shape change and ROS production. Required for EPB41L4B-mediated regulation of the circumferential actomyosin belt in epithelial cells (PubMed:22006950).
Subcellular Location	Cytoplasm; Cytoplasm; Cytoskeleton; Cell membrane; Apical cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.66338533
pNuLoCRegion	18...39;127...138;175...192;294...314
