UniprotID	Q9H7U1-3
Accession	Q9H7U1;B4DFY4;B4DQU9;B7WPE8;D3DWE2;Q8N6E9;Q9H2S0;Q9ULU1
EntryName	CCSE2_HUMAN
ProteinName	Serine-rich coiled-coil domain-containing protein 2 (Coiled-coil serine-rich protein 2) (Protein GCAP14 homolog)
GeneName	CCSER2 FAM190B KIAA1128 NPD012
Length	1047
Function	Microtubule-binding protein which might play a role in microtubule bundling.
Subcellular Location	Cytoplasm; Cytoskeleton
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.59647447
pNuLoCRegion	86...98
