UniprotID	Q3YEC7-2
Accession	Q3YEC7;A8QVZ7;A8QVZ8;C6K8I4;C6K8I5;Q4F968;Q5T5R7;Q8IWK1;Q8TCL4;Q8WU94;Q96SR8;Q9BU21;Q9H935
EntryName	RABL6_HUMAN
ProteinName	Rab-like protein 6 (GTP-binding protein Parf) (Partner of ARF) (Rab-like protein 1) (RBEL1)
GeneName	RABL6 C9orf86 PARF
Length	730
Function	May enhance cellular proliferation. May reduce growth inhibitory activity of CDKN2A.
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8290817
pNuLoCRegion	22...32;123...126;692...711
