UniprotID	Q9H0B3-5
Accession	Q9H0B3;B4DYH2;E9PDE0;E9PH54;Q2KHR5;Q8N4G8;Q96M14;Q9C0I0
EntryName	IQCN_HUMAN
ProteinName	IQ domain-containing protein N
GeneName	IQCN KIAA1683
Length	1134
Function	Essential for spermiogenesis and fertilization (PubMed:36321563). May be required for manchette assembly in elongating spermatids (By similarity).
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7275948
pNuLoCRegion	51...56;86...97;111...128
