UniprotID	Q9H4L5-2
Accession	Q9H4L5;A4D167;A4D168;A4D169;A4D170;A4D171;A4D172;B8ZZ79;B8ZZP0;O14591;O43357;O43358;Q8N702;Q8N703;Q8N704;Q8NFH0;Q8NFH1;Q8NI12;Q8NI13;Q9BZF4;Q9UED6
EntryName	OSBL3_HUMAN
ProteinName	Oxysterol-binding protein-related protein 3 (ORP-3) (OSBP-related protein 3)
GeneName	OSBPL3 KIAA0704 ORP3 OSBP3
Length	856
Function	Phosphoinositide-binding protein which associates with both cell and endoplasmic reticulum (ER) membranes (PubMed:16143324). Can bind to the ER membrane protein VAPA and recruit VAPA to plasma membrane sites, thus linking these intracellular compartments (PubMed:25447204). The ORP3-VAPA complex stimulates RRAS signaling which in turn attenuates integrin beta-1 (ITGB1) activation at the cell surface (PubMed:18270267, PubMed:25447204). With VAPA, may regulate ER morphology (PubMed:16143324). Has a role in regulation of the actin cytoskeleton, cell polarity and cell adhesion (PubMed:18270267). Binds to phosphoinositides with preference for PI(3,4)P2 and PI(3,4,5)P3 (PubMed:16143324). Also binds 25-hydroxycholesterol and cholesterol (PubMed:17428193).
Subcellular Location	Endoplasmic reticulum membrane; Cytoplasm; Cytosol; Cell membrane; Cell projection; Filopodium tip; Nucleus membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.83938164
pNuLoCRegion	154...165;229...243;488...493
