UniprotID	Q9ULH1-2
Accession	Q9ULH1;B2RNV3
EntryName	ASAP1_HUMAN
ProteinName	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 (130 kDa phosphatidylinositol 4,5-bisphosphate-dependent ARF1 GTPase-activating protein) (ADP-ribosylation factor-directed GTPase-activating protein 1) (ARF GTPase-activating protein 1) (Development and differentiation-enhancing factor 1) (DEF-1) (Differentiation-enhancing factor 1) (PIP2-dependent ARF1 GAP)
GeneName	ASAP1 DDEF1 KIAA1249 PAG2
Length	1132
Function	Possesses phosphatidylinositol 4,5-bisphosphate-dependent GTPase-activating protein activity for ARF1 (ADP ribosylation factor 1) and ARF5 and a lesser activity towards ARF6. May coordinate membrane trafficking with cell growth or actin cytoskeleton remodeling by binding to both SRC and PIP2. May function as a signal transduction protein involved in the differentiation of fibroblasts into adipocytes and possibly other cell types. Part of the ciliary targeting complex containing Rab11, ASAP1, Rabin8/RAB3IP, RAB11FIP3 and ARF4, which direct preciliary vesicle trafficking to mother centriole and ciliogenesis initiation (PubMed:25673879).
Subcellular Location	Cytoplasm; Membrane; Golgi apparatus; Golgi apparatus; trans-Golgi network
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.1183639
pNuLoCRegion	
