UniprotID	Q5H9F3-1
Accession	Q5H9F3;B5MDQ8;Q5H9F2;Q5H9F4;Q6ZVE0;Q8TEN3;Q9Y528
EntryName	BCORL_HUMAN
ProteinName	BCL-6 corepressor-like protein 1 (BCoR-L1) (BCoR-like protein 1)
GeneName	BCORL1
Length	1711
Function	Transcriptional corepressor. May specifically inhibit gene expression when recruited to promoter regions by sequence-specific DNA-binding proteins such as BCL6. This repression may be mediated at least in part by histone deacetylase activities which can associate with this corepressor.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.94707596
pNuLoCRegion	21...42;1266...1275;1309...1349;1417...1450;1524...1525;1529...1546;1581...1591
