UniprotID	Q9Y6F6-5
Accession	Q9Y6F6;B7Z3T4;B7Z6I2;B7Z9A3;E9PQY6;F5H6A1;J3KQZ7;Q17S00;Q9UNY1
EntryName	IRAG1_HUMAN
ProteinName	Inositol 1,4,5-triphosphate receptor associated 1 (Inositol 1,4,5-trisphosphate receptor-associated cGMP kinase substrate) (JAW1-related protein MRVI1) (Protein MRVI1)
GeneName	IRAG1 IRAG JAW1L MRVI1
Length	821
Function	Plays a role as NO/PRKG1-dependent regulator of IP3-induced calcium release; its phosphorylation by PRKG1 inhibits bradykinin and IP3-induced calcium release from intracellular stores. Recruits PRKG1 to the endoplasmic reticulum and may mediate the assembly of PRKG1 and ITPR1 in a macrocomplex. Involved in PRKG1 signaling cascade leading to inhibition of platelet activation and aggregation. Also mediates NO-dependent inhibition of calcium signaling in gastrointestinal smooth muscle contributing to NO-dependent relaxation (PubMed:14729908). Plays a role in the regulation of cellular excitability by regulating the hyperpolarization-activated cyclic nucleotide-gated HCN4 channel activity (By similarity).
Subcellular Location	Cytoplasm; Perinuclear region; Sarcoplasmic reticulum; Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.521087
pNuLoCRegion	44...44;49...51;83...107
