UniprotID	Q9ULQ1-3
Accession	Q9ULQ1;A7E258;Q86XS9;Q8NC20
EntryName	TPC1_HUMAN
ProteinName	Two pore channel protein 1 (Two pore calcium channel protein 1) (Voltage-dependent calcium channel protein TPC1)
GeneName	TPCN1 KIAA1169 TPC1
Length	888
Function	Intracellular channel initially characterized as a non-selective Ca(2+)-permeable channel activated by NAADP (nicotinic acid adenine dinucleotide phosphate), it is also a voltage-gated highly-selective Na(+) channel activated directly by PI(3,5)P2 (phosphatidylinositol 3,5-bisphosphate) that senses pH changes and confers electrical excitability to organelles (PubMed:19620632, PubMed:23063126, PubMed:23394946, PubMed:24776928). Localizes to the early and recycling endosomes membranes where it plays a role in the uptake and processing of proteins and regulates organellar membrane excitability, membrane trafficking and pH homeostasis (Probable) (PubMed:23394946). Ion selectivity is not fixed but rather agonist-dependent and under defined ionic conditions, can be readily activated by both NAADP and PI(3,5)P2 (Probable). Required for mTOR-dependent nutrient sensing (Probable) (PubMed:23394946).
Subcellular Location	Lysosome membrane; Endosome membrane; Early endosome membrane; Recycling endosome membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.028809391
pNuLoCRegion	14...39;64...82;117...128
