UniprotID	Q9HCR9-2
Accession	Q9HCR9;Q14CD1;Q53T16;Q96S76;Q9GZY7;Q9HB46;Q9NY45
EntryName	PDE11_HUMAN
ProteinName	Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A (EC 3.1.4.35) (EC 3.1.4.53) (cAMP and cGMP phosphodiesterase 11A)
GeneName	PDE11A
Length	683
Function	Plays a role in signal transduction by regulating the intracellular concentration of cyclic nucleotides cAMP and cGMP (PubMed:10725373, PubMed:10906126, PubMed:11050148, PubMed:16330539). Catalyzes the hydrolysis of both cAMP and cGMP to 5'-AMP and 5'-GMP, respectively (PubMed:10725373, PubMed:10906126, PubMed:11050148).
Subcellular Location	Cytoplasm; Cytosol
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.07643865
pNuLoCRegion	
