UniprotID	Q9P2S6-4
Accession	Q9P2S6;B2RB78;Q4ZFV3;Q8IYX5;Q8NDK5;Q9H0V8;Q9NX10
EntryName	ANKY1_HUMAN
ProteinName	Ankyrin repeat and MYND domain-containing protein 1 (Testis-specific ankyrin-like protein 1) (Zinc finger MYND domain-containing protein 13)
GeneName	ANKMY1 TSAL1 ZMYND13
Length	711
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8223548
pNuLoCRegion	4...20;44...68
