UniprotID	Q6UXY8-4
Accession	Q6UXY8;Q68DK8;Q8IY20;Q8NHV6;Q9H8I7
EntryName	TMC5_HUMAN
ProteinName	Transmembrane channel-like protein 5
GeneName	TMC5 UNQ8238/PRO33604
Length	647
Function	Probable component of an ion channel (Probable). Molecular function hasn't been characterized yet (Probable).
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.033150855
pNuLoCRegion	20...20;22...24;26...27
