UniprotID	Q8N2S1-2
Accession	Q8N2S1;O00508;O75412;O75413
EntryName	LTBP4_HUMAN
ProteinName	Latent-transforming growth factor beta-binding protein 4 (LTBP-4)
GeneName	LTBP4
Length	1557
Function	Key regulator of transforming growth factor beta (TGFB1, TGFB2 and TGFB3) that controls TGF-beta activation by maintaining it in a latent state during storage in extracellular space. Associates specifically via disulfide bonds with the Latency-associated peptide (LAP), which is the regulatory chain of TGF-beta, and regulates integrin-dependent activation of TGF-beta.
Subcellular Location	Secreted; Extracellular space; Extracellular matrix
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.02772768
pNuLoCRegion	
