UniprotID	Q8NI08-2
Accession	Q8NI08;B2RNS2;B7Z2C4;B9EH71;G8JL91;Q3LID6;Q4G0V1;Q5TF95;Q6IPQ4;Q6NE83;Q86T89;Q8N1W4
EntryName	NCOA7_HUMAN
ProteinName	Nuclear receptor coactivator 7 (140 kDa estrogen receptor-associated protein) (Estrogen nuclear receptor coactivator 1)
GeneName	NCOA7 ERAP140 ESNA1 Nbla00052 Nbla10993
Length	931
Function	Enhances the transcriptional activities of several nuclear receptors. Involved in the coactivation of different nuclear receptors, such as ESR1, THRB, PPARG and RARA.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9574856
pNuLoCRegion	23...36;73...76;672...691;874...887
