UniprotID	Q5MIZ7-3
Accession	Q5MIZ7;Q6P9B0;Q86XB8;Q9BQJ0;Q9BRK2;Q9H913;Q9P2G0
EntryName	P4R3B_HUMAN
ProteinName	Serine/threonine-protein phosphatase 4 regulatory subunit 3B (SMEK homolog 2)
GeneName	PPP4R3B KIAA1387 PP4R3B SMEK2
Length	764
Function	Regulatory subunit of serine/threonine-protein phosphatase 4 (PP4). May regulate the activity of PPP4C at centrosomal microtubule organizing centers.
Subcellular Location	Cytoplasm; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.93121123
pNuLoCRegion	8...26;71...77;114...119;753...761
