UniprotID	Q86UE8-3
Accession	Q86UE8;D3DU07;Q9UKI7;Q9Y4F7
EntryName	TLK2_HUMAN
ProteinName	Serine/threonine-protein kinase tousled-like 2 (EC 2.7.11.1) (HsHPK) (PKU-alpha) (Tousled-like kinase 2)
GeneName	TLK2
Length	718
Function	Serine/threonine-protein kinase involved in the process of chromatin assembly and probably also DNA replication, transcription, repair, and chromosome segregation (PubMed:10523312, PubMed:11470414, PubMed:12660173, PubMed:12955071, PubMed:29955062, PubMed:33323470, PubMed:9427565). Phosphorylates the chromatin assembly factors ASF1A and ASF1B (PubMed:11470414, PubMed:20016786, PubMed:29955062, PubMed:35136069). Phosphorylation of ASF1A prevents its proteasome-mediated degradation, thereby enhancing chromatin assembly (PubMed:20016786). Negative regulator of amino acid starvation-induced autophagy (PubMed:22354037).
Subcellular Location	Nucleus; Nucleus; Nucleoplasm; Cytoplasm; Perinuclear region; Cytoplasm; Cytoskeleton
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.972377
pNuLoCRegion	3...12;52...75;140...156
