UniprotID	A7E2V4-5
Accession	A7E2V4;B2RP37;O94987;Q17RS8;Q2TAB8;Q6P439;Q8IW81;Q8NB34;Q9H8F3
EntryName	ZSWM8_HUMAN
ProteinName	Zinc finger SWIM domain-containing protein 8
GeneName	ZSWIM8 KIAA0913
Length	1829
Function	Substrate recognition component of a SCF-like E3 ubiquitin-protein ligase complex that promotes target-directed microRNA degradation (TDMD), a process that mediates degradation of microRNAs (miRNAs) (PubMed:33184234, PubMed:33184237). The SCF-like E3 ubiquitin-protein ligase complex acts by catalyzing ubiquitination and subsequent degradation of AGO proteins (AGO1, AGO2, AGO3 and/or AGO4), thereby exposing miRNAs for degradation (PubMed:33184234, PubMed:33184237). Specifically recognizes and binds AGO proteins when they are engaged with a TDMD target (PubMed:33184234). May also act as a regulator of axon guidance: specifically recognizes misfolded ROBO3 and promotes its ubiquitination and subsequent degradation (PubMed:24012004). Plays an essential role for proper embryonic development of heart and lung (By similarity). Controls protein quality of DAB1, a key signal molecule for brain development, thus protecting its signaling strength. Mechanistically, recognizes intrinsically disordered regions of DAB1 and eliminates misfolded DAB1 that cannot be properly phosphorylated (By similarity).
Subcellular Location	Cytoplasm; Cytosol
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5246036
pNuLoCRegion	10...35;61...65;544...561;602...617
