UniprotID	Q9Y5G0-2
Accession	Q9Y5G0;Q52LK8;Q9Y5C6
EntryName	PCDGH_HUMAN
ProteinName	Protocadherin gamma-B5 (PCDH-gamma-B5)
GeneName	PCDHGB5
Length	818
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.021550557
pNuLoCRegion	
