UniprotID	Q9UJX5-3
Accession	Q9UJX5;A8K8H1;E9PCR4;Q6PCC6;Q9NSH6
EntryName	APC4_HUMAN
ProteinName	Anaphase-promoting complex subunit 4 (APC4) (Cyclosome subunit 4)
GeneName	ANAPC4 APC4
Length	809
Function	Component of the anaphase promoting complex/cyclosome (APC/C), a cell cycle-regulated E3 ubiquitin ligase that controls progression through mitosis and the G1 phase of the cell cycle (PubMed:18485873). The APC/C complex acts by mediating ubiquitination and subsequent degradation of target proteins: it mainly mediates the formation of 'Lys-11'-linked polyubiquitin chains and, to a lower extent, the formation of 'Lys-48'- and 'Lys-63'-linked polyubiquitin chains (PubMed:18485873). The APC/C complex catalyzes assembly of branched 'Lys-11'-/'Lys-48'-linked branched ubiquitin chains on target proteins (PubMed:29033132).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5940744
pNuLoCRegion	6...24;89...104;124...132
