UniprotID	Q9ULJ8-5
Accession	Q9ULJ8;A1L494;B2RWQ1;E9PCA0;E9PCK6;E9PDX1;F8W7J9;O76059;Q9NXT2
EntryName	NEB1_HUMAN
ProteinName	Neurabin-1 (Neurabin-I) (Neural tissue-specific F-actin-binding protein I) (Protein phosphatase 1 regulatory subunit 9A)
GeneName	PPP1R9A KIAA1222
Length	1296
Function	Binds to actin filaments (F-actin) and shows cross-linking activity. Binds along the sides of the F-actin. May be involved in neurite formation. Inhibits protein phosphatase 1-alpha activity (By similarity).
Subcellular Location	Cytoplasm; Cytoskeleton; Synapse; Synaptosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5497698
pNuLoCRegion	
