UniprotID	Q9Y223-3
Accession	Q9Y223;A6PZH2;A6PZH3;A7UNU7;B2R6E1;B7Z372;B7Z428;D3DRP7;F5H499;H0YFA7;Q0VA94
EntryName	GLCNE_HUMAN
ProteinName	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)]
GeneName	GNE GLCNE IBM2
Length	717
Function	Bifunctional enzyme that possesses both UDP-N-acetylglucosamine 2-epimerase and N-acetylmannosamine kinase activities, and serves as the initiator of the biosynthetic pathway leading to the production of N-acetylneuraminic acid (NeuAc), a critical precursor in the synthesis of sialic acids. By catalyzing this pivotal and rate-limiting step in sialic acid biosynthesis, this enzyme assumes a pivotal role in governing the regulation of cell surface sialylation, playing a role in embryonic angiogenesis (PubMed:10334995, PubMed:11326336, PubMed:14707127, PubMed:16503651, PubMed:2808337, PubMed:38237079). Sialic acids represent a category of negatively charged sugars that reside on the surface of cells as terminal components of glycoconjugates and mediate important functions in various cellular processes, including cell adhesion, signal transduction, and cellular recognition (PubMed:10334995, PubMed:14707127).
Subcellular Location	Cytoplasm; Cytosol
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5229378
pNuLoCRegion	8...18
