UniprotID	A6NFQ2-3
Accession	A6NFQ2;B4DK02;Q14D25;Q17RQ4;Q8IWQ0;Q8NF84
EntryName	TCAF2_HUMAN
ProteinName	TRPM8 channel-associated factor 2 (TRP channel-associated factor 2)
GeneName	TCAF2 FAM115C FAM139A
Length	815
Function	Negatively regulates the plasma membrane cation channel TRPM8 activity. Involved in the recruitment of TRPM8 to the cell surface. Promotes prostate cancer cell migration stimulation in a TRPM8-dependent manner.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.47768363
pNuLoCRegion	20...50
