UniprotID	Q9UPX8-1
Accession	Q9UPX8;C0SPG8;C0SPG9;Q3Y8G9;Q52LK2;Q9UKP1
EntryName	SHAN2_HUMAN
ProteinName	SH3 and multiple ankyrin repeat domains protein 2 (Shank2) (Cortactin-binding protein 1) (CortBP1) (Proline-rich synapse-associated protein 1)
GeneName	SHANK2 CORTBP1 KIAA1022 PROSAP1
Length	1470
Function	Seems to be an adapter protein in the postsynaptic density (PSD) of excitatory synapses that interconnects receptors of the postsynaptic membrane including NMDA-type and metabotropic glutamate receptors, and the actin-based cytoskeleton. May play a role in the structural and functional organization of the dendritic spine and synaptic junction.
Subcellular Location	Apical cell membrane; Cytoplasm; Synapse; Postsynaptic density; Cell projection; Growth cone; Cell projection; Dendritic spine
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8299809
pNuLoCRegion	16...43
