UniprotID	Q9NR96-5
Accession	Q9NR96;B3Y661;D1CS56;Q6UVZ2;Q9HD68;Q9HD69;Q9HD70;Q9NYC2;Q9NYC3
EntryName	TLR9_HUMAN
ProteinName	Toll-like receptor 9 (CD antigen CD289)
GeneName	TLR9 UNQ5798/PRO19605
Length	1017
Function	Key component of innate and adaptive immunity. TLRs (Toll-like receptors) control host immune response against pathogens through recognition of molecular patterns specific to microorganisms. TLR9 is a nucleotide-sensing TLR which is activated by unmethylated cytidine-phosphate-guanosine (CpG) dinucleotides (PubMed:14716310). Acts via MYD88 and TRAF6, leading to NF-kappa-B activation, cytokine secretion and the inflammatory response (PubMed:11564765, PubMed:17932028). Controls lymphocyte response to Helicobacter infection (By similarity). Upon CpG stimulation, induces B-cell proliferation, activation, survival and antibody production (PubMed:23857366).
Subcellular Location	Endoplasmic reticulum membrane; Early endosome membrane; Lysosome; Cytoplasmic vesicle; Phagosome; Golgi apparatus membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.060539313
pNuLoCRegion	
