UniprotID	Q9BSJ2-4
Accession	Q9BSJ2;B4DM18;B7ZKL8;F5H4E0;F5H4L0;O43632;Q5VWX7
EntryName	GCP2_HUMAN
ProteinName	Gamma-tubulin complex component 2 (GCP-2) (hGCP2) (Gamma-ring complex protein 103 kDa) (h103p) (hGrip103) (Spindle pole body protein Spc97 homolog) (hSpc97)
GeneName	TUBGCP2 GCP2
Length	930
Function	Gamma-tubulin complex is necessary for microtubule nucleation at the centrosome. Plays a role in neuronal migration.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.59793395
pNuLoCRegion	21...32;92...102;352...359
