UniprotID	Q8ND61-2
Accession	Q8ND61;Q7L0U6;Q8NCP2;Q9H0I7
EntryName	CC020_HUMAN
ProteinName	Uncharacterized protein C3orf20
GeneName	C3orf20
Length	782
Function	
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5811848
pNuLoCRegion	18...43
