UniprotID	Q9P1Y6-3
Accession	Q9P1Y6;A6H8W1;B7ZM64;B9EGP0;C9JS82;Q6PJP2;Q8IVY2;Q8N2Y7;Q9BSM2
EntryName	PHRF1_HUMAN
ProteinName	PHD and RING finger domain-containing protein 1
GeneName	PHRF1 KIAA1542
Length	1648
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.91454446
pNuLoCRegion	57...67;332...355;377...396;460...471;522...539;1000...1023;1049...1081;1109...1125;1148...1176;1195...1211
