UniprotID	Q8WXE0-2
Accession	Q8WXE0;B4DTT3;B7Z9H1;Q7LG69;Q9ULT1
EntryName	CSKI2_HUMAN
ProteinName	Caskin-2 (CASK-interacting protein 2)
GeneName	CASKIN2 KIAA1139
Length	1120
Function	
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.2828332
pNuLoCRegion	55...71
