UniprotID	Q9ULD2-2
Accession	Q9ULD2;A8K135;B2RBJ6;B3KWJ9;B4DH03;B9EGA1;D3DSP8;Q63HJ6;Q659F4;Q6PK49;Q6URW7;Q8N4M6;Q8WTT9;Q9H7T2
EntryName	MTUS1_HUMAN
ProteinName	Microtubule-associated tumor suppressor 1 (AT2 receptor-binding protein) (Angiotensin-II type 2 receptor-interacting protein) (Mitochondrial tumor suppressor 1)
GeneName	MTUS1 ATBP ATIP GK1 KIAA1288 MTSG1
Length	1216
Function	Cooperates with AGTR2 to inhibit ERK2 activation and cell proliferation. May be required for AGTR2 cell surface expression. Together with PTPN6, induces UBE2V2 expression upon angiotensin-II stimulation. Isoform 1 inhibits breast cancer cell proliferation, delays the progression of mitosis by prolonging metaphase and reduces tumor growth.
Subcellular Location	Mitochondrion; Golgi apparatus; Cell membrane; Nucleus; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm; Cytoskeleton; Spindle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.91655344
pNuLoCRegion	129...134;152...156;416...416;1064...1086
