UniprotID	Q6PFW1-4
Accession	Q6PFW1;O15082;Q5HYF8;Q7Z3A7;Q86TE7;Q86UV3;Q86UV4;Q86XW8;Q8IZN0
EntryName	VIP1_HUMAN
ProteinName	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 1) (Histidine acid phosphatase domain-containing protein 2A) (IP6 kinase) (Inositol pyrophosphate synthase 1) (InsP6 and PP-IP5 kinase 1) (VIP1 homolog) (hsVIP1)
GeneName	PPIP5K1 HISPPD2A IP6K IPS1 KIAA0377 VIP1
Length	1407
Function	Bifunctional inositol kinase that acts in concert with the IP6K kinases IP6K1, IP6K2 and IP6K3 to synthesize the diphosphate group-containing inositol pyrophosphates diphosphoinositol pentakisphosphate, PP-InsP5, and bis-diphosphoinositol tetrakisphosphate, (PP)2-InsP4. PP-InsP5 and (PP)2-InsP4, also respectively called InsP7 and InsP8, regulate a variety of cellular processes, including apoptosis, vesicle trafficking, cytoskeletal dynamics, exocytosis, insulin signaling and neutrophil activation. Phosphorylates inositol hexakisphosphate (InsP6) at position 1 to produce PP-InsP5 which is in turn phosphorylated by IP6Ks to produce (PP)2-InsP4. Alternatively, phosphorylates PP-InsP5 at position 1, produced by IP6Ks from InsP6, to produce (PP)2-InsP4. Activated when cells are exposed to hyperosmotic stress.
Subcellular Location	Cytoplasm; Cytosol; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6005949
pNuLoCRegion	5...22;29...50
