UniprotID	Q6UY14-2
Accession	Q6UY14;B2RTT0;F8WAD0;Q5T5F7;Q6IPM6;Q8N643;Q9HBS6
EntryName	ATL4_HUMAN
ProteinName	ADAMTS-like protein 4 (ADAMTSL-4) (Thrombospondin repeat-containing protein 1)
GeneName	ADAMTSL4 TSRC1 PP1396 UNQ2803/PRO34012
Length	877
Function	Positive regulation of apoptosis. May facilitate FBN1 microfibril biogenesis.
Subcellular Location	Secreted; Extracellular space; Extracellular matrix
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.05408474
pNuLoCRegion	
