UniprotID	Q2NKQ1-3
Accession	Q2NKQ1;A5LGW1;A8MUT4;B0QYW0;B0QYW1;B5MEG1;B9A6J4;Q5TFL3;Q8TF60
EntryName	SGSM1_HUMAN
ProteinName	Small G protein signaling modulator 1 (RUN and TBC1 domain-containing protein 2)
GeneName	SGSM1 KIAA1941 RUTBC2
Length	1165
Function	Interacts with numerous Rab family members, functioning as Rab effector for some, and as GTPase activator for others. Promotes GTP hydrolysis by RAB34 and RAB36. Probably functions as a GTPase effector with RAB9A and RAB9B; does not stimulate GTP hydrolysis with RAB9A and RAB9B.
Subcellular Location	Golgi apparatus; trans-Golgi network; Cytoplasmic vesicle membrane; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.52679396
pNuLoCRegion	18...37;179...198;343...353
