UniprotID	Q9ULU4-19
Accession	Q9ULU4;B3KVL2;B7Z2A8;B7Z3E0;B7Z680;B7ZM62;E1P5U5;F5H0X3;H7C0U2;J3KPU3;Q13517;Q2HXV1;Q2HXV2;Q2HXV3;Q2HXV4;Q2HXV7;Q2HXV8;Q2HXV9;Q2HXW0;Q2HXW1;Q2HXW2;Q4JJ94;Q4JJ95;Q5TH09;Q5TH11;Q6MZM1;Q8WXC5;Q9H1F3;Q9H1F4;Q9H1F5;Q9H1L8;Q9H1L9;Q9H2G5;Q9NYN3;Q9UIX6
EntryName	ZMYD8_HUMAN
ProteinName	MYND-type zinc finger-containing chromatin reader ZMYND8 (Cutaneous T-cell lymphoma-associated antigen se14-3) (CTCL-associated antigen se14-3) (Protein kinase C-binding protein 1) (Rack7) (Transcription coregulator ZMYND8) (Zinc finger MYND domain-containing protein 8)
GeneName	ZMYND8 KIAA1125 PRKCBP1 RACK7
Length	1241
Function	Chromatin reader that recognizes dual histone modifications such as histone H3.1 dimethylated at 'Lys-36' and histone H4 acetylated at 'Lys-16' (H3.1K36me2-H4K16ac) and histone H3 methylated at 'Lys-4' and histone H4 acetylated at 'Lys-14' (H3K4me1-H3K14ac) (PubMed:26655721, PubMed:27477906, PubMed:31965980, PubMed:36064715). May act as a transcriptional corepressor for KDM5D by recognizing the dual histone signature H3K4me1-H3K14ac (PubMed:27477906). May also act as a transcriptional corepressor for KDM5C and EZH2 (PubMed:33323928). Recognizes acetylated histone H4 and recruits the NuRD chromatin remodeling complex to damaged chromatin for transcriptional repression and double-strand break repair by homologous recombination (PubMed:25593309, PubMed:27732854, PubMed:30134174). Also activates transcription elongation by RNA polymerase II through recruiting the P-TEFb complex to target promoters (PubMed:26655721, PubMed:30134174). Localizes to H3.1K36me2-H4K16ac marks at all-trans-retinoic acid (ATRA)-responsive genes and positively regulates their expression (PubMed:26655721). Promotes neuronal differentiation by associating with regulatory regions within the MAPT gene, to enhance transcription of a protein-coding MAPT isoform and suppress the non-coding MAPT213 isoform (PubMed:30134174, PubMed:35916866, PubMed:36064715). Suppresses breast cancer, and prostate cancer cell invasion and metastasis (PubMed:27477906, PubMed:31965980, PubMed:33323928).
Subcellular Location	Nucleus; Chromosome; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9784994
pNuLoCRegion	5...59;68...89;94...104;145...146;168...185;196...222;568...569;619...633;643...645;651...671;729...743;823...834;863...870
