UniprotID	Q9UI40-2
Accession	Q9UI40;B7ZLL8;Q9NTN5;Q9NZQ4
EntryName	NCKX2_HUMAN
ProteinName	Sodium/potassium/calcium exchanger 2 (Na(+)/K(+)/Ca(2+)-exchange protein 2) (Retinal cone Na-Ca+K exchanger) (Solute carrier family 24 member 2)
GeneName	SLC24A2 NCKX2
Length	644
Function	Calcium, potassium:sodium antiporter that transports 1 Ca(2+) and 1 K(+) in exchange for 4 Na(+) (PubMed:10662833, PubMed:26631410). Required for learming and memory by regulating neuronal Ca(2+), which is essential for the development of synaptic plasticity (By similarity).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.021371337
pNuLoCRegion	
