UniprotID	Q9UQL6-3
Accession	Q9UQL6;C9JFV9;O60340;O60528;Q96DY4
EntryName	HDAC5_HUMAN
ProteinName	Histone deacetylase 5 (HD5) (EC 3.5.1.98) (Antigen NY-CO-9)
GeneName	HDAC5 KIAA0600
Length	1123
Function	Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events. Histone deacetylases act via the formation of large multiprotein complexes. Involved in muscle maturation by repressing transcription of myocyte enhancer MEF2C. During muscle differentiation, it shuttles into the cytoplasm, allowing the expression of myocyte enhancer factors. Involved in the MTA1-mediated epigenetic regulation of ESR1 expression in breast cancer. Serves as a corepressor of RARA and causes its deacetylation (PubMed:28167758). In association with RARA, plays a role in the repression of microRNA-10a and thereby in the inflammatory response (PubMed:28167758).
Subcellular Location	Nucleus; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.705867
pNuLoCRegion	54...65
