UniprotID	Q96AA8-3
Accession	Q96AA8;A4ZZA7;A8K5G5;B4DSG0;G5E9Y0;O60302;Q548S1
EntryName	JKIP2_HUMAN
ProteinName	Janus kinase and microtubule-interacting protein 2 (CTCL tumor antigen HD-CL-04) (Neuroendocrine long coiled-coil protein 1)
GeneName	JAKMIP2 JAMIP2 KIAA0555 NECC1
Length	820
Function	
Subcellular Location	Golgi apparatus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5669863
pNuLoCRegion	21...40;419...429
