UniprotID	A1L4K1-2
Accession	A1L4K1;B3KVG1;B7ZM02
EntryName	FSD2_HUMAN
ProteinName	Fibronectin type III and SPRY domain-containing protein 2 (SPRY domain-containing protein 1)
GeneName	FSD2 SPRYD1
Length	704
Function	
Subcellular Location	Nucleus; Sarcoplasmic reticulum; Cytoplasm; Perinuclear region
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.68075866
pNuLoCRegion	36...68;113...113
