UniprotID	Q8TDY4-3
Accession	Q8TDY4;B3KRW0;B4DHH4;Q6P9F4;Q86UY1;Q9NXK2
EntryName	ASAP3_HUMAN
ProteinName	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3 (Development and differentiation-enhancing factor-like 1) (Protein up-regulated in liver cancer 1)
GeneName	ASAP3 DDEFL1 UPLC1
Length	894
Function	Promotes cell proliferation.
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.73606026
pNuLoCRegion	191...199;203...207;209...231
