UniprotID	Q9NZ94-2
Accession	Q9NZ94;B2RBK1;D2X2H6;D3DVV0;D3DVV1;Q86V51;Q8NCD0;Q9NZ95;Q9NZ96;Q9NZ97;Q9P248
EntryName	NLGN3_HUMAN
ProteinName	Neuroligin-3 (Gliotactin homolog)
GeneName	NLGN3 KIAA1480 NL3
Length	828
Function	Cell surface protein involved in cell-cell-interactions via its interactions with neurexin family members. Plays a role in synapse function and synaptic signal transmission, and may mediate its effects by clustering other synaptic proteins. May promote the initial formation of synapses, but is not essential for this. May also play a role in glia-glia or glia-neuron interactions in the developing peripheral nervous system (By similarity).
Subcellular Location	Cell membrane; Synapse
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.03333088
pNuLoCRegion	
