UniprotID	Q9NUT2-3
Accession	Q9NUT2;A5D8W3;B2RBL8;B3KND2;B4DG02;G3XAP3;O95787;Q53GM0
EntryName	MITOS_HUMAN
ProteinName	Mitochondrial potassium channel ATP-binding subunit (ATP-binding cassette sub-family B member 8, mitochondrial) (ABCB8) (Mitochondrial ATP-binding cassette 1) (M-ABC1) (Mitochondrial sulfonylurea-receptor) (MITOSUR)
GeneName	ABCB8 MABC1 MITOSUR
Length	693
Function	ATP-binding subunit of the mitochondrial ATP-gated potassium channel (mitoK(ATP)) (PubMed:31435016). Together with pore-forming subunit CCDC51/MITOK of the mitoK(ATP) channel, mediates ATP-dependent potassium currents across the mitochondrial inner membrane (PubMed:31435016). An increase in ATP intracellular levels closes the channel, inhibiting K(+) transport, whereas a decrease in ATP levels enhances K(+) uptake in the mitochondrial matrix (PubMed:31435016). Plays a role in mitochondrial iron transport (PubMed:30623799). Required for maintenance of normal cardiac function, possibly by influencing mitochondrial iron export and regulating the maturation of cytosolic iron sulfur cluster-containing enzymes (By similarity).
Subcellular Location	Mitochondrion inner membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.002285084
pNuLoCRegion	
