UniprotID	A2RRH5-4
Accession	A2RRH5;A5PLM8;C9JGV0;Q5T066
EntryName	WDR27_HUMAN
ProteinName	WD repeat-containing protein 27
GeneName	WDR27
Length	895
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.33478427
pNuLoCRegion	27...53;63...64
