UniprotID	Q8TD16-2
Accession	Q8TD16;O75181;Q5TBQ2;Q5TBQ3;Q96LH2;Q9BT84;Q9H561
EntryName	BICD2_HUMAN
ProteinName	Protein bicaudal D homolog 2 (Bic-D 2)
GeneName	BICD2 KIAA0699
Length	855
Function	Acts as an adapter protein linking the dynein motor complex to various cargos and converts dynein from a non-processive to a highly processive motor in the presence of dynactin. Facilitates and stabilizes the interaction between dynein and dynactin and activates dynein processivity (the ability to move along a microtubule for a long distance without falling off the track) (PubMed:25814576). Facilitates the binding of RAB6A to the Golgi by stabilizing its GTP-bound form. Regulates coat complex coatomer protein I (COPI)-independent Golgi-endoplasmic reticulum transport via its interaction with RAB6A and recruitment of the dynein-dynactin motor complex (PubMed:25962623). Contributes to nuclear and centrosomal positioning prior to mitotic entry through regulation of both dynein and kinesin-1. During G2 phase of the cell cycle, associates with RANBP2 at the nuclear pores and recruits dynein and dynactin to the nuclear envelope to ensure proper positioning of the nucleus relative to centrosomes prior to the onset of mitosis (By similarity).
Subcellular Location	Golgi apparatus; Cytoplasm; Cytoskeleton; Cytoplasm; Nucleus envelope; Nucleus; Nuclear pore complex
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8246334
pNuLoCRegion	1...21;57...62
