UniprotID	Q86UG4-2
Accession	Q86UG4;A6NHC1;Q6ZMY5;Q86UV2;Q8IYU5
EntryName	SO6A1_HUMAN
ProteinName	Solute carrier organic anion transporter family member 6A1 (Cancer/testis antigen 48) (CT48) (Gonad-specific transporter) (GST) (Organic anion-transporting polypeptide 6A1) (Organic anion-transporting polypeptide I) (OATP-I) (Solute carrier family 21 member 19)
GeneName	SLCO6A1 OATP6A1 SLC21A19
Length	657
Function	
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.05285814
pNuLoCRegion	54...81
