UniprotID	Q5VZL5-3
Accession	Q5VZL5;A0JP19;A0JP20;O43308;Q5T5E1;Q5T5E2;Q7L3Q4
EntryName	ZMYM4_HUMAN
ProteinName	Zinc finger MYM-type protein 4 (Zinc finger protein 262)
GeneName	ZMYM4 KIAA0425 ZNF262
Length	1224
Function	Plays a role in the regulation of cell morphology and cytoskeletal organization.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9012501
pNuLoCRegion	30...36;62...69;120...134;163...187;267...271;455...465;841...855;1116...1141
