UniprotID	Q9HCF6-7
Accession	Q9HCF6;A2A3F6;A9Z1Y7;Q5VW02;Q5VW03;Q5VW04;Q5W5T7;Q86SH0;Q86SH6;Q86UL0;Q86WK1;Q86WK2;Q86WK3;Q86WK4;Q86YZ9;Q86Z00;Q86Z01;Q9H0X2
EntryName	TRPM3_HUMAN
ProteinName	Transient receptor potential cation channel subfamily M member 3 (Long transient receptor potential channel 3) (LTrpC-3) (LTrpC3) (Melastatin-2) (MLSN2)
GeneName	TRPM3 KIAA1616 LTRPC3
Length	1722
Function	Constitutively active, non-selective divalent cation-conducting channel that is permeable to Ca(2+), Mn(2+), and Mg(2+), with a high permeability for Ca(2+). However, can be enhanced by increasing temperature and by ligands, including the endogenous neurosteroid pregnenolone sulfate and sphingosine-1 and suppressed by intracellular Mg(2+) (PubMed:12672799, PubMed:12672827, PubMed:32343227). Implicated in a variety of cellular processes, including insulin/peptide secretion, vascular constriction and dilation, noxious heat sensing, inflammatory and spontaneous pain sensitivity. In neurons of the dorsal root ganglia, functions as thermosensitive channel for the detection of noxious heat and spontaneous pain. Suggested to function as an ionotropic steroid receptor in beta-cell, indeed pregnenolone sulfate leads to Ca(2+) influx and enhanced insulin secretion. Mediates Zn(2+) uptake into the lumen of pancreatic beta cell secretory granules, thereby regulating insulin secretion (By similarity). Forms heteromultimeric ion channels with TRPM1 which are permeable for Ca(2+) and Zn(2+) ions (PubMed:21278253). Exists as multiple splice variants which differ significantly in their biophysical properties (By similarity).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.018292448
pNuLoCRegion	
